co2,regiao
33.22,ABC
33.08,ABC
32.87,ABC
33.37,ABC
33.44,ABC
33.15,ABC
33.01,ABC
33.08,ABC
33.72,ABC
33.65,ABC
33.44,ABC
33.72,ABC
32.66,ABC
33.01,ABC
33.08,ABC
33.15,ABC
32.94,ABC
33.22,ABC
34.23,ABC
34.01,ABC
32.59,ABC
32.31,ABC
32.66,ABC
32.59,ABC
32.66,ABC
32.8,ABC
32.8,ABC
33.37,ABC
33.08,ABC
32.73,ABC
33.01,ABC
33.22,ABC
32.59,ABC
33.44,ABC
33.72,ABC
33.58,ABC
33.44,ABC
34.09,ABC
34.82,ABC
34.52,ABC
35.57,ABC
36.02,ABC
37.57,ABC
35.19,ABC
35.27,ABC
36.63,ABC
37.73,ABC
40.49,ABC
33.8,ABC
33.15,ABC
33.72,ABC
32.87,ABC
32.73,ABC
32.38,ABC
32.45,ABC
32.59,ABC
32.66,ABC
32.38,ABC
32.94,ABC
33.01,ABC
33.15,ABC
33.44,ABC
33.87,ABC
32.87,ABC
32.87,ABC
33.15,ABC
32.1,ABC
32.45,ABC
32.52,ABC
32.45,ABC
31.9,ABC
32.1,ABC
31.96,ABC
32.1,ABC
32.1,ABC
32.31,ABC
31.96,ABC
31.83,ABC
32.1,ABC
32.03,ABC
31.21,ABC
31.08,ABC
31.55,ABC
32.24,ABC
32.31,ABC
32.31,ABC
32.38,ABC
32.31,ABC
32.52,ABC
32.38,ABC
32.73,ABC
32.52,ABC
31.69,ABC
32.38,ABC
32.45,ABC
32.1,ABC
32.17,ABC
31.96,ABC
32.45,ABC
32.31,ABC
32.31,ABC
32.59,ABC
32.59,ABC
33.01,ABC
32.03,ABC
32.38,ABC
32.52,ABC
32.24,ABC
32.31,ABC
32.17,ABC
32.1,ABC
32.17,ABC
31.83,ABC
32.17,ABC
32.87,ABC
31.55,ABC
32.38,ABC
32.45,ABC
32.31,ABC
32.45,ABC
32.52,ABC
32.45,ABC
32.1,ABC
32.52,ABC
32.59,ABC
32.45,ABC
31.96,ABC
32.52,ABC
32.31,ABC
32.52,ABC
32.66,ABC
32.94,ABC
33.08,ABC
33.58,ABC
33.72,ABC
34.31,ABC
34.89,ABC
34.67,ABC
36.71,ABC
34.52,ABC
31.62,ABC
31.96,ABC
32.17,ABC
31.76,ABC
32.03,ABC
31.9,ABC
31.62,ABC
31.83,ABC
32.03,ABC
31.96,ABC
32.1,ABC
32.17,ABC
31.55,ABC
32.38,ABC
32.38,ABC
32.31,ABC
32.59,ABC
32.52,ABC
32.45,ABC
32.38,ABC
32.17,ABC
32.1,ABC
