date, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/4/23, 66, , 8, , , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/24, 81, , 30, 11, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/25, 61, , 19, 6, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/26, 41, , 26, 10, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/27, 49, , 38, 16, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/28, 62, , 36, 13, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/29, 71, , 35, 15, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/30, 56, , 43, 19, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/1, 72, , 46, 20, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/2, 78, , 39, 21, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/3, 78, , 49, 16, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/4, 62, , 42, 15, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/5, 66, , 39, 10, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/6, 61, , 37, 22, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/7, 73, , 51, 24, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/8, 68, , 36, 17, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/9, 58, , 28, 18, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/10, 55, , 34, 10, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/11, 54, , 35, 22, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/12, 75, , 32, 18, , 7,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/13, 75, , 36, 16, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/14, 61, , 12, 8, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/15, 17, , 12, 8, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/16, 17, , 27, 21, , 7,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/17, 61, , 37, 29, , 7,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/18, 76, , 33, 19, , 7,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/19, 80, , 22, 4, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/20, 37, , 12, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/21, 44, , 10, 11, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/22, 36, , 24, 17, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
