data, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/5/17, 51, 52, 27, 22, , 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/18, 82, 49, 31, 17, 3, 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/19, 96, 16, 22, 5, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/20, 44, 26, 22, 11, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/21, 54, 28, 11, 10, 1, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/22, 52, 37, 17, 14, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/23, 73, 49, 26, 19, , 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/24, 83, 34, 14, 17, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/25, 56, 16, 12, 11, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/26, 42, 6, 10, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/27, 15, 7, , 9, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/28, 22, 15, , 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/29, 27, 15, , 11, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/30, 31, 22, , 10, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/31, 48, 17, , 9, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/1, 40, 18, , 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/2, 43, 25, , 11, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/3, 58, 34, , 17, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/4, 63, 13, , 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/5, 33, 22, , 14, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/6, 43, 36, , 17, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/7, 72, 48, 16, 18, 1, 8,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/8, 100, 44, 26, 15, 1, 8,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/9, 95, 30, 23, 12, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/10, 71, 39, 23, 21, , 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/11, 68, 49, 34, 20, 2, 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/12, 95, 52, 32, 23, 2, 8,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/13, 97, 46, 28, 22, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/14, 80, 42, 23, 19, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/15, 69, 40, 21, 16, , 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/16, 75, 36, 25, 12, 3, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/17, 79, 38, 20, 17, , 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/18, 60, 46, 22, 19, 1, 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/19, 72, 69, 25, 24, 1, 9,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/20, 104, 56, 28, 25, 5, 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/21, 103, 52, 26, 24, 4, 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/22, 98, 47, 21, 17, 2, 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/23, 90, 40, 24, 14, , 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/24, 75, 42, 24, 17, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/25, 76, 15, 13, 9, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/26, 38, 39, 9, 17, 1, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/27, 59, 41, 17, 20, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/28, 80, 48, 22, 20, , 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/29, 96, 43, 27, 19, 1, 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/6/30, 87, 12, 14, 5, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/1, 35, 15, 7, 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/2, 51, 23, 33, 5, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/3, 43, 20, 32, 7, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/4, 40, 14, 25, 7, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/5, 18, 18, 31, 5, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/6, 29, 13, 26, 3, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/7, 25, 17, 38, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/8, 37, 22, 40, 14, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/9, 41, 31, 45, 15, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/10, 54, 30, 38, 17, 1, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/11, 60, 16, 32, 9, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/12, 33, 11, 35, 9, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/13, 28, 12, 20, 6, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/14, 22, 19, 29, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/15, 42, 22, 35, 9, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/16, 43, 90, 33, 11, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/17, 36, , 44, 11, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/18, 49, , 49, 8, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/19, 42, , 40, 11, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/20, 37, , 32, 7, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/21, 27, , 31, 5, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/22, 21, , 20, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/23, 18, , 20, 7, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
